akun_id,peran_id,nama_lengkap,email,plaintext_password,password_hash_algo
AKUN000065,ADMIN,Ari Setyowati,ari.00065@umkmtumbuh.go.id,PasarMandiri4639!,sha256
AKUN000066,ADMIN,Suryo Asih,sa00066@umkmtumbuh.go.id,UsahaKatalog2250#,sha256
AKUN000067,ADMIN,Darel Wahyuni,darelwahyuni67@umkmtumbuh.go.id,ModalKatalog3483%,sha256
AKUN000068,ADMIN,Rexy Pramono,rexy-pramono-1156@umkmtumbuh.go.id,KatalogPelatihan7632%,sha256
AKUN000069,ADMIN,Prabowo Amin,prabowo_amin.069@umkmtumbuh.go.id,PasarDigital9244#,sha256
AKUN000070,ADMIN,Khairunnisa Mahardika,khairunnisa-mahardika-1190@umkmtumbuh.go.id,PasarUsaha4120#,sha256
AKUN000071,ADMIN,Hafizh Nugraha,hafizhnugraha71@umkmtumbuh.go.id,TumbuhUMKM8530#,sha256
AKUN000072,ADMIN,Nurul Rohmah,nr00072@umkmtumbuh.go.id,KatalogUMKM4045!,sha256
AKUN000073,ADMIN,Naufan Pratiwi,np00073@umkmtumbuh.go.id,UMKMNusantara7978!,sha256
AKUN000074,ADMIN,Sriyono Kusnadi,sriyono.00074@umkmtumbuh.go.id,PasarDigital5313!,sha256
AKUN000075,ADMIN,Latifah Saputra,latifahsaputra75@umkmtumbuh.go.id,UsahaTumbuh5550$,sha256
AKUN000076,ADMIN,Krisna Permata,krisnapermata76@umkmtumbuh.go.id,SejahteraUsaha2473%,sha256
AKUN000077,ADMIN,Novi Haunan,novi.00077@umkmtumbuh.go.id,SejahteraNusantara5323$,sha256
AKUN000078,ADMIN,Siti Hylmi,sh00078@umkmtumbuh.go.id,TumbuhUMKM7918$,sha256
AKUN000079,ADMIN,Yusuf Lahadalia,yusuf.lahadalia79@umkmtumbuh.go.id,BerkahDigital6376!,sha256
AKUN000080,ADMIN,Rizky Syahputra,rizky.syahputra80@umkmtumbuh.go.id,SejahteraPasar2110#,sha256
AKUN000081,ADMIN,Maya Susanti,maya.00081@umkmtumbuh.go.id,KemitraanTumbuh5624%,sha256
AKUN000082,ADMIN,Rafi Rachman,rafi.rachman82@umkmtumbuh.go.id,SejahteraMaju1818%,sha256
AKUN000083,ADMIN,Mila Utami,mu00083@umkmtumbuh.go.id,PasarMandiri2929!,sha256
AKUN000084,ADMIN,Rangga Setiawan,rangga_setiawan.084@umkmtumbuh.go.id,ModalDigital6490!,sha256
AKUN000085,ADMIN,Hanif Fauzi,hanif.00085@umkmtumbuh.go.id,MandiriDigital9719%,sha256
AKUN000086,ADMIN,Nisa Pertiwi,np00086@umkmtumbuh.go.id,KemitraanBerkah7407#,sha256
AKUN000087,ADMIN,Yoeke Herfina,yoekeherfina87@umkmtumbuh.go.id,TumbuhModal2712!,sha256
AKUN000088,ADMIN,Lolo Hermawan,lolo_hermawan.088@umkmtumbuh.go.id,KemitraanKatalog9391@,sha256
AKUN000089,ADMIN,Najma Hakim,najma-hakim-1513@umkmtumbuh.go.id,UsahaPelatihan4582@,sha256
AKUN000090,ADMIN,Taufik Maharani,taufik-maharani-1530@umkmtumbuh.go.id,KreatifMaju4684$,sha256
AKUN000091,ADMIN,Ratna Prasetyo,ratna-prasetyo-1547@umkmtumbuh.go.id,UsahaKreatif5898#,sha256
AKUN000092,ADMIN,Salma Purnomo,salma.00092@umkmtumbuh.go.id,BerkahTumbuh2141!,sha256
AKUN000093,ADMIN,Sulastri Anwar,sulastri-anwar-1581@umkmtumbuh.go.id,MandiriMaju7974#,sha256
AKUN000094,ADMIN,Mardiyah Astuti,mardiyah_astuti.094@umkmtumbuh.go.id,PasarModal7877$,sha256
AKUN000095,ADMIN,Suyatno Artanti,suyatno-artanti-1615@umkmtumbuh.go.id,UMKMKemitraan9423@,sha256
AKUN000096,ADMIN,Puspita Cahyono,pc00096@umkmtumbuh.go.id,TumbuhKreatif9970$,sha256
AKUN000097,ADMIN,Anisa Mutmainah,am00097@umkmtumbuh.go.id,ProdukBerkah7282#,sha256
AKUN000098,ADMIN,Rina Kusumawati,rina_kusumawati.098@umkmtumbuh.go.id,KemitraanUMKM7125!,sha256
AKUN000099,ADMIN,Dian Nuraini,dian-nuraini-1683@umkmtumbuh.go.id,MandiriKatalog8583%,sha256
AKUN000100,ADMIN,Bayu Nugroho,bayu.00100@umkmtumbuh.go.id,BerkahNusantara4466$,sha256
AKUN000101,ADMIN,Kartika Ningsih,kartika.00101@umkmtumbuh.go.id,MajuProduk9038$,sha256
AKUN000102,ADMIN,Galih Fitriani,galihfitriani102@umkmtumbuh.go.id,BerkahUsaha1405#,sha256
AKUN000103,ADMIN,Miftah Azarel,miftah.azarel6@umkmtumbuh.go.id,SejahteraPelatihan8428$,sha256
AKUN000104,ADMIN,Fauzan Pangestu,fauzan.pangestu7@umkmtumbuh.go.id,ProdukUMKM2126@,sha256
AKUN000105,ADMIN,Annisa Maryati,am00105@umkmtumbuh.go.id,KemitraanPelatihan1522$,sha256
AKUN000106,ADMIN,Lois Sutrisno,loissutrisno106@umkmtumbuh.go.id,UMKMDigital3285!,sha256
AKUN000107,ADMIN,Satria Prakoso,satria.prakoso10@umkmtumbuh.go.id,SejahteraKatalog1461@,sha256
AKUN000108,ADMIN,Bahlil Lestari,bahlil-lestari-1836@umkmtumbuh.go.id,KemitraanSejahtera8230!,sha256
AKUN000109,ADMIN,Rizal Maulana,rizal.maulana12@umkmtumbuh.go.id,BerkahPasar8067!,sha256
AKUN000110,ADMIN,Gilang Mulyani,gilang.mulyani13@umkmtumbuh.go.id,SejahteraUsaha2316%,sha256
AKUN000111,ADMIN,Ayu Ungu,ayu.00111@umkmtumbuh.go.id,UsahaProduk9906%,sha256
AKUN000112,ADMIN,Rendra Subianto,rendra_subianto.112@umkmtumbuh.go.id,BerkahKatalog4338$,sha256
AKUN000113,ADMIN,Titin Ramdani,titinramdani113@umkmtumbuh.go.id,MandiriSejahtera5120%,sha256
AKUN000114,ADMIN,Khusnul Wulandari,khusnul.wulandari17@umkmtumbuh.go.id,ModalMandiri7765!,sha256
AKUN000115,ADMIN,Wulan Pawestri,wp00115@umkmtumbuh.go.id,SejahteraPelatihan9091#,sha256
AKUN000116,ADMIN,Mursid Wibowo,mursid.wibowo19@umkmtumbuh.go.id,DigitalDigital6954@,sha256
AKUN000117,ADMIN,Nur Rahmawati,nur.00117@umkmtumbuh.go.id,TumbuhUsaha4281%,sha256
AKUN000118,ADMIN,Putri Suryani,putri.00118@umkmtumbuh.go.id,BerkahMandiri1353!,sha256
AKUN000119,ADMIN,Aulia Hapsari,ah00119@umkmtumbuh.go.id,ModalKemitraan2308%,sha256
AKUN000120,ADMIN,Teguh Akmalin,teguh_akmalin.120@umkmtumbuh.go.id,KatalogSejahtera7799%,sha256
AKUN000121,ADMIN,Kirana Sulistyo,ks00121@umkmtumbuh.go.id,SejahteraUsaha8955@,sha256
AKUN000122,ADMIN,Dimas Gunawan,dimasgunawan122@umkmtumbuh.go.id,MajuSejahtera1008$,sha256
AKUN000123,ADMIN,Aditya Prabawa,ap00123@umkmtumbuh.go.id,PasarBerkah7346!,sha256
AKUN000124,ADMIN,Naila Rahman,nr00124@umkmtumbuh.go.id,PelatihanSejahtera4546%,sha256
AKUN000125,ADMIN,Reza Hidayat,rh00125@umkmtumbuh.go.id,SejahteraUsaha6897%,sha256
AKUN000126,ADMIN,Raihan Cahyani,raihan-cahyani-2142@umkmtumbuh.go.id,PelatihanSejahtera9832!,sha256
AKUN000127,ADMIN,Viola Basuki,viola-basuki-2159@umkmtumbuh.go.id,MajuKatalog5933$,sha256
AKUN000128,ADMIN,Aisyah Manggala,aisyah.00128@umkmtumbuh.go.id,KatalogSejahtera7384%,sha256
AKUN000129,ADMIN,Sofyan Kusuma,sofyan.kusuma32@umkmtumbuh.go.id,UMKMDigital7647@,sha256
AKUN000130,ADMIN,Sri Azzahra,sri.00130@umkmtumbuh.go.id,ModalMaju1450!,sha256
AKUN000131,ADMIN,Tania Anggraini,taniaanggraini131@umkmtumbuh.go.id,UsahaNusantara9033@,sha256
AKUN000132,ADMIN,Suhartini Wijayanti,suhartini.wijayanti35@umkmtumbuh.go.id,BerkahPelatihan1017!,sha256
AKUN000133,ADMIN,Rois Handayani,rois_handayani.133@umkmtumbuh.go.id,UMKMUMKM3273#,sha256
AKUN000134,ADMIN,Darsih Wijaya,dw00134@umkmtumbuh.go.id,UMKMBerkah5845%,sha256
AKUN000135,ADMIN,Gita Amalia,ga00135@umkmtumbuh.go.id,ModalNusantara4013@,sha256
AKUN000136,ADMIN,Ahmad Ade,aa00136@umkmtumbuh.go.id,KreatifTumbuh8341#,sha256
AKUN000137,ADMIN,Hendra Syakira,hendra-syakira-2329@umkmtumbuh.go.id,TumbuhPelatihan6173!,sha256
AKUN000138,ADMIN,Fajar Fauziah,fajarfauziah138@umkmtumbuh.go.id,KemitraanProduk7107%,sha256
AKUN000139,ADMIN,Lestari Widodo,lestari-widodo-2363@umkmtumbuh.go.id,KatalogKatalog9828$,sha256
AKUN000140,ADMIN,Andi Haryanto,andi_haryanto.140@umkmtumbuh.go.id,UsahaKreatif4726@,sha256
AKUN000141,ADMIN,Hana Kurniawan,hana.kurniawan44@umkmtumbuh.go.id,PelatihanDigital6498%,sha256
AKUN000142,ADMIN,Vina Firmansyah,vina.00142@umkmtumbuh.go.id,UMKMPasar5098$,sha256
AKUN000143,ADMIN,Mega Ramadhan,mega.ramadhan46@umkmtumbuh.go.id,UsahaMandiri4799!,sha256
AKUN000144,ADMIN,Fikri Ryannareta,fikri-ryannareta-2448@umkmtumbuh.go.id,BerkahKreatif8062!,sha256
AKUN000145,ADMIN,Rambat Yusnita,rambat.yusnita48@umkmtumbuh.go.id,KemitraanTumbuh2403$,sha256
AKUN000146,ADMIN,Prayuda Fadhilah,pf00146@umkmtumbuh.go.id,UsahaMaju1044#,sha256
AKUN000147,ADMIN,Dhea Ramadhani,dhea.00147@umkmtumbuh.go.id,MajuMandiri3856%,sha256
AKUN000148,ADMIN,Yoga Anjani,yoga-anjani-2516@umkmtumbuh.go.id,DigitalTumbuh3972#,sha256
AKUN000149,ADMIN,Yuni Santoso,yunisantoso149@umkmtumbuh.go.id,UMKMUsaha2289$,sha256
AKUN000150,ADMIN,Febri Sari,febri-sari-2550@umkmtumbuh.go.id,PelatihanKatalog4345!,sha256
AKUN000151,ADMIN,Adit Puspita,aditpuspita151@umkmtumbuh.go.id,PelatihanPelatihan2038$,sha256
AKUN000152,ADMIN,Endang Aryati,endang.aryati55@umkmtumbuh.go.id,UMKMMaju8312#,sha256
AKUN000153,ADMIN,Mujiono Afifansyah,mujiono-afifansyah-2601@umkmtumbuh.go.id,PasarProduk7983#,sha256
AKUN000154,ADMIN,Devi Wicaksono,devi-wicaksono-2618@umkmtumbuh.go.id,KatalogTumbuh3592$,sha256
AKUN000155,ADMIN,Syifa Herlambang,syifa.00155@umkmtumbuh.go.id,TumbuhPasar1400$,sha256
AKUN000156,ADMIN,Dewi Setyowati,dewi_setyowati.156@umkmtumbuh.go.id,MajuMaju6576%,sha256
AKUN000157,ADMIN,Wahyu Asih,wa00157@umkmtumbuh.go.id,KatalogBerkah9713%,sha256
AKUN000158,ADMIN,Farhan Wahyuni,farhan_wahyuni.158@umkmtumbuh.go.id,KreatifMaju4144$,sha256
AKUN000159,ADMIN,Salsa Pramono,salsa.00159@umkmtumbuh.go.id,BerkahTumbuh6265#,sha256
AKUN000160,ADMIN,Bagus Amin,bagus.amin63@umkmtumbuh.go.id,UMKMKemitraan3398@,sha256
AKUN000161,ADMIN,Niken Mahardika,nm00161@umkmtumbuh.go.id,KreatifMaju8189%,sha256
AKUN000162,ADMIN,Dinda Nugraha,dinda-nugraha-2754@umkmtumbuh.go.id,KemitraanKatalog6923#,sha256
AKUN000163,ADMIN,Pram Rohmah,pram.00163@umkmtumbuh.go.id,TumbuhSejahtera3680$,sha256
AKUN000164,ADMIN,Adeliya Pratiwi,adeliya.pratiwi67@umkmtumbuh.go.id,MajuBerkah5446#,sha256
AKUN000165,ADMIN,Jonnathan Kusnadi,jonnathan.00165@umkmtumbuh.go.id,UsahaModal5195%,sha256
AKUN000166,ADMIN,Meiva Saputra,meiva-saputra-2822@umkmtumbuh.go.id,ModalProduk3872@,sha256
AKUN000167,ADMIN,Zahra Permata,zahra.permata70@umkmtumbuh.go.id,KemitraanNusantara9972@,sha256
AKUN000168,ADMIN,Irfan Haunan,irfan-haunan-2856@umkmtumbuh.go.id,UsahaDigital7053$,sha256
AKUN000169,ADMIN,Retno Hylmi,retno-hylmi-2873@umkmtumbuh.go.id,NusantaraKreatif8777@,sha256
AKUN000170,ADMIN,Naufal Lahadalia,naufallahadalia170@umkmtumbuh.go.id,NusantaraProduk9774@,sha256
AKUN000171,ADMIN,Joko Syahputra,joko-syahputra-2907@umkmtumbuh.go.id,ProdukPelatihan9429@,sha256
AKUN000172,ADMIN,Halimah Susanti,halimahsusanti172@umkmtumbuh.go.id,PelatihanNusantara2096%,sha256
AKUN000173,ADMIN,Yuliana Rachman,yuliana.00173@umkmtumbuh.go.id,PelatihanBerkah9055@,sha256
AKUN000174,ADMIN,Nuraini Utami,nurainiutami174@umkmtumbuh.go.id,ModalKemitraan8196$,sha256
AKUN000175,ADMIN,Budi Setiawan,budisetiawan175@umkmtumbuh.go.id,UsahaKreatif4651%,sha256
AKUN000176,ADMIN,Fitri Fauzi,fitri.fauzi79@umkmtumbuh.go.id,UsahaMaju9232%,sha256
AKUN000177,ADMIN,Nadia Pertiwi,nadiapertiwi177@umkmtumbuh.go.id,UMKMBerkah4737@,sha256
AKUN000178,ADMIN,Arif Herfina,arif-herfina-3026@umkmtumbuh.go.id,NusantaraUMKM8566#,sha256
AKUN000179,ADMIN,Rahayu Hermawan,rahayu.hermawan82@umkmtumbuh.go.id,PelatihanPasar2655%,sha256
AKUN000180,ADMIN,Rifqi Hakim,rifqihakim180@umkmtumbuh.go.id,PasarKreatif1794@,sha256
AKUN000181,ADMIN,Citra Maharani,citra.00181@umkmtumbuh.go.id,SejahteraTumbuh3003#,sha256
AKUN000182,ADMIN,Rizka Prasetyo,rizkaprasetyo182@umkmtumbuh.go.id,ProdukTumbuh3798!,sha256
AKUN000183,ADMIN,Dwi Purnomo,dwi.purnomo86@umkmtumbuh.go.id,KemitraanKatalog7764@,sha256
AKUN000184,ADMIN,Rasyid Anwar,rasyid-anwar-3128@umkmtumbuh.go.id,TumbuhKatalog9356%,sha256
AKUN000185,ADMIN,Anindya Astuti,anindyaastuti185@umkmtumbuh.go.id,UMKMNusantara2547!,sha256
AKUN000186,ADMIN,Angelina Artanti,angelina.artanti89@umkmtumbuh.go.id,UMKMDigital1127!,sha256
AKUN000187,ADMIN,Rama Cahyono,rc00187@umkmtumbuh.go.id,UsahaBerkah6388!,sha256
AKUN000188,ADMIN,Eka Mutmainah,eka_mutmainah.188@umkmtumbuh.go.id,KreatifTumbuh6813!,sha256
AKUN000189,ADMIN,Rizqi Kusumawati,rizqi-kusumawati-3213@umkmtumbuh.go.id,ProdukSejahtera2372!,sha256
AKUN000190,ADMIN,Lukman Nuraini,lukman-nuraini-3230@umkmtumbuh.go.id,ModalUMKM9477#,sha256
AKUN000191,ADMIN,Dewanto Nugroho,dewanto_nugroho.191@umkmtumbuh.go.id,UMKMKatalog1900$,sha256
AKUN000192,ADMIN,Slamet Ningsih,slamet_ningsih.192@umkmtumbuh.go.id,SejahteraDigital5853#,sha256
AKUN000193,ADMIN,Rengga Fitriani,renggafitriani193@umkmtumbuh.go.id,ProdukSejahtera5490%,sha256
AKUN000194,ADMIN,Rohman Azarel,ra00194@umkmtumbuh.go.id,PelatihanMandiri8149#,sha256
AKUN000195,ADMIN,Agus Pangestu,aguspangestu195@umkmtumbuh.go.id,MajuMaju4158@,sha256
AKUN000196,ADMIN,Tri Maryati,tri.00196@umkmtumbuh.go.id,KatalogUMKM5868#,sha256
AKUN000197,ADMIN,Intan Sutrisno,intan-sutrisno-3349@umkmtumbuh.go.id,ModalModal1095#,sha256
AKUN000198,ADMIN,Nugroho Prakoso,nugroho.prakoso4@umkmtumbuh.go.id,MajuMandiri8613#,sha256
AKUN000199,ADMIN,Sekar Lestari,sl00199@umkmtumbuh.go.id,ProdukKemitraan1284%,sha256
AKUN000200,ADMIN,Ilham Maulana,ilham_maulana.200@umkmtumbuh.go.id,SejahteraBerkah3796@,sha256
AKUN000201,ADMIN,Ari Mulyani,ari.mulyani7@umkmtumbuh.go.id,KemitraanUMKM3412#,sha256
AKUN000202,ADMIN,Suryo Ungu,suryo.00202@umkmtumbuh.go.id,MandiriMandiri5336#,sha256
AKUN000203,ADMIN,Darel Subianto,darelsubianto203@umkmtumbuh.go.id,SejahteraMaju3742#,sha256
AKUN000204,ADMIN,Rexy Ramdani,rexyramdani204@umkmtumbuh.go.id,UMKMKemitraan6922%,sha256
AKUN000205,ADMIN,Prabowo Wulandari,prabowo.wulandari11@umkmtumbuh.go.id,KreatifKreatif5307!,sha256
AKUN000206,ADMIN,Khairunnisa Pawestri,khairunnisa-pawestri-3502@umkmtumbuh.go.id,BerkahUsaha8181#,sha256
AKUN000207,ADMIN,Hafizh Wibowo,hafizh_wibowo.207@umkmtumbuh.go.id,NusantaraBerkah6982@,sha256
AKUN000208,ADMIN,Nurul Rahmawati,nurul-rahmawati-3536@umkmtumbuh.go.id,KatalogProduk1292!,sha256
AKUN000209,ADMIN,Naufan Suryani,ns00209@umkmtumbuh.go.id,NusantaraUsaha7161!,sha256
AKUN000210,ADMIN,Sriyono Hapsari,sriyono-hapsari-3570@umkmtumbuh.go.id,SejahteraNusantara9903@,sha256
AKUN000211,ADMIN,Latifah Akmalin,latifahakmalin211@umkmtumbuh.go.id,ModalModal6916@,sha256
AKUN000212,ADMIN,Krisna Sulistyo,krisna.sulistyo18@umkmtumbuh.go.id,KemitraanPasar6750@,sha256
AKUN000213,ADMIN,Novi Gunawan,novi.gunawan19@umkmtumbuh.go.id,ModalKatalog8315$,sha256
AKUN000214,ADMIN,Siti Prabawa,sp00214@umkmtumbuh.go.id,KatalogMaju5478#,sha256
AKUN000215,ADMIN,Yusuf Rahman,yusuf_rahman.215@umkmtumbuh.go.id,UsahaKatalog9231!,sha256
AKUN000216,ADMIN,Rizky Hidayat,rizky-hidayat-3672@umkmtumbuh.go.id,KemitraanModal7849%,sha256
AKUN000217,ADMIN,Maya Cahyani,maya_cahyani.217@umkmtumbuh.go.id,BerkahUMKM3483%,sha256
AKUN000218,ADMIN,Rafi Basuki,rafi.basuki24@umkmtumbuh.go.id,TumbuhModal4879$,sha256
AKUN000219,ADMIN,Mila Manggala,mila_manggala.219@umkmtumbuh.go.id,ProdukUsaha9786#,sha256
AKUN000220,ADMIN,Rangga Kusuma,rangga.kusuma26@umkmtumbuh.go.id,BerkahPasar6902$,sha256
AKUN000221,ADMIN,Hanif Azzahra,hanif.azzahra27@umkmtumbuh.go.id,NusantaraKreatif3414#,sha256
AKUN000222,ADMIN,Nisa Anggraini,nisa.anggraini28@umkmtumbuh.go.id,BerkahKreatif8260%,sha256
AKUN000223,ADMIN,Yoeke Wijayanti,yw00223@umkmtumbuh.go.id,UMKMNusantara3648%,sha256
AKUN000224,ADMIN,Lolo Handayani,lolo.handayani30@umkmtumbuh.go.id,TumbuhNusantara8120#,sha256
AKUN000225,ADMIN,Najma Wijaya,najma.wijaya31@umkmtumbuh.go.id,DigitalBerkah5278$,sha256
AKUN000226,ADMIN,Taufik Amalia,taufik-amalia-3842@umkmtumbuh.go.id,ProdukModal7196!,sha256
AKUN000227,ADMIN,Ratna Ade,ratnaade227@umkmtumbuh.go.id,ModalModal5119!,sha256
AKUN000228,ADMIN,Salma Syakira,salma.syakira34@umkmtumbuh.go.id,KatalogMandiri7762%,sha256
AKUN000229,ADMIN,Sulastri Fauziah,sulastri-fauziah-3893@umkmtumbuh.go.id,SejahteraPasar9294%,sha256
