mitra_id,kode_mitra,akun_id,diverifikasi_oleh_admin_id,lokasi_id,jenis_mitra_id,status_mitra_id,skala_kerjasama_id,nama_mitra,nama_badan_hukum,nib,npwp,nama_pic,jabatan_pic,kontak_pic,email_pic,alamat_mitra,wilayah_operasional,deskripsi_dukungan,logo_url,foto_cover_url,status_verified,is_deleted,deleted_at,archived_at,created_at,updated_at
MTR000011,MITRA-2026-00011,AKUN005261,ADM000200,LOK000254,JM01,AKTIF,PROVINSI,Badan Logistik Prima,Badan Logistik Prima Mandiri,3196511189094,12.349.472.3-475.791,Latifah Maulana,Business Development,08529782344,badan-logistik-prima011@go.id,"Jl. Tanjung No. 69 RT 12/RW 02, kantor operasional Badan Logistik Prima",Online Nasional,"Badan Logistik Prima berperan sebagai mitra pendamping yang menyediakan pendampingan konten, kelas pelatihan, fasilitasi sertifikasi bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000011.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000011.webp,true,false,,,2025-04-11 23:40:45,2025-05-05 23:40:45
MTR000012,MITRA-2026-00012,AKUN005262,ADM000151,LOK000277,JM09,AKTIF,KABUPATEN,Inkubator Tumbuh Bersama,Inkubator Tumbuh Bersama Mandiri,9105472840798,98.392.488.4-580.761,Krisna Ramadhan,Koordinator Kemitraan,088257865059,inkubator-tumbuh-bersama012@or.id,"Jl. Mangga KM 15.5, RT 06/RW 01, kantor operasional Inkubator Tumbuh Bersama",Online Nasional,"Inkubator Tumbuh Bersama berperan sebagai mitra pendamping yang menyediakan promosi digital, kelas pelatihan, pendampingan konten bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000012.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000012.webp,true,false,,,2025-12-14 20:41:44,2026-02-07 20:41:44
MTR000013,MITRA-2026-00013,AKUN005263,ADM000007,LOK000300,JM02,AKTIF,KABUPATEN,PT Kampus Wirausaha,PT Kampus Wirausaha,,92.393.382.5-435.549,Novi Ryannareta,Business Development,0858829690774,pt-kampus-wirausaha013@gmail.com,"Sentra UMKM Tembalang, Kios A204, kantor operasional PT Kampus Wirausaha",Nasional,"PT Kampus Wirausaha membuka program kolaborasi untuk UMKM pada bidang pemasaran, distribusi, permodalan, pelatihan dengan bentuk dukungan dana hibah, mentoring.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000013.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000013.webp,true,false,,,2025-01-26 10:07:36,2025-02-03 10:07:36
MTR000014,MITRA-2026-00014,AKUN005264,ADM000098,LOK000323,JM01,AKTIF,PROVINSI,Dinas Kolaborasi Karya,Dinas Kolaborasi Karya Mandiri,,56.230.400.6-630.832,Siti Herfina,Kepala Divisi UMKM,08991153365,kontak-dinas-kolaborasi-karya@mitra.id,"Sentra UMKM Beringharjo, Kios A135, kantor operasional Dinas Kolaborasi Karya",Online Nasional,"Dinas Kolaborasi Karya membuka program kolaborasi untuk UMKM pada bidang legalitas usaha, pendampingan bisnis, sertifikasi produk dengan bentuk dukungan klinik konsultasi, fasilitasi sertifikasi, kelas pelatihan, konsultasi legal.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000014.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000014.webp,true,false,,,2026-03-01 03:31:00,2026-04-30 03:31:00
MTR000015,MITRA-2026-00015,AKUN005265,,LOK000346,JM06,MENUNGGU_VERIFIKASI,LOKAL,Koperasi Akselerasi Digital,Koperasi Akselerasi Digital,1238333585624,88.349.424.7-744.456,Yusuf Wicaksono,Business Development,081140922911,koperasi-akselerasi-digital015@mitra.id,"Kompleks Ruko Griya Usaha Blok A No. 27, kantor operasional Koperasi Akselerasi Digital",Jawa-Bali,"Koperasi Akselerasi Digital berperan sebagai mitra pendamping yang menyediakan pendampingan konten, pinjaman lunak, mentoring bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000015.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000015.webp,false,false,,,2026-04-25 04:32:58,2026-06-14 04:32:58
MTR000016,MITRA-2026-00016,AKUN005266,ADM000072,LOK000369,JM08,AKTIF,KABUPATEN,PT Riset dan Inovasi,PT Riset dan Inovasi,9142353041312,47.389.400.8-773.653,Rizky Herlambang,Manajer Program,0822400393966,halo-pt-riset-dan-inovasi@gmail.com,"Kompleks Ruko Griya Usaha Blok B No. 236, kantor operasional PT Riset dan Inovasi",Solo Raya,"PT Riset dan Inovasi membuka program kolaborasi untuk UMKM pada bidang distribusi, ekspor, logistik dengan bentuk dukungan pendampingan konten, klinik konsultasi, kurasi produk, akses gudang.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000016.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000016.webp,true,false,,,2024-07-17 21:29:24,2024-09-23 21:29:24
MTR000017,MITRA-2026-00017,AKUN005267,,LOK000392,JM04,DITOLAK,LOKAL,Universitas Digital Niaga,Universitas Digital Niaga Mandiri,1860336212526,20.492.339.9-453.710,Maya Setyowati,Koordinator Kemitraan,085748611264,halo-universitas-digital-niaga@or.id,"Sentra UMKM Pucangsawit, Kios A155, kantor operasional Universitas Digital Niaga",Jawa Tengah,"Universitas Digital Niaga membuka program kolaborasi untuk UMKM pada bidang digitalisasi, pelatihan dengan bentuk dukungan mentoring, kurasi produk, klinik konsultasi, kelas pelatihan.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000017.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000017.webp,false,false,,,2024-02-25 06:25:02,2024-05-05 06:25:02
MTR000018,MITRA-2026-00018,AKUN005268,ADM000236,LOK000415,JM02,AKTIF,KABUPATEN,Rumah BUMN Akses Modal Mandiri,Rumah BUMN Akses Modal Mandiri Mandiri,1367198232055,93.548.667.1-468.633,Rafi Asih,Business Development,088276741605,rumah-bumn-akses-modal-mandiri.kontak@co.id,"Jl. Raya Solo-Jogja KM 6.0, RT 04/RW 07, kantor operasional Rumah BUMN Akses Modal Mandiri",Nasional,"Rumah BUMN Akses Modal Mandiri membuka program kolaborasi untuk UMKM pada bidang pelatihan, distribusi dengan bentuk dukungan akses pameran, klinik konsultasi, dana hibah, mentoring.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000018.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000018.webp,true,false,,,2025-07-19 13:29:14,2025-09-28 13:29:14
MTR000019,MITRA-2026-00019,AKUN005269,ADM000228,LOK000438,JM11,AKTIF,LOKAL,Koperasi Konsultan Legal UMKM,Koperasi Konsultan Legal UMKM,,20.432.732.2-701.091,Mila Wahyuni,Kepala Divisi UMKM,085259063593,info-koperasi-konsultan-legal-umkm@ac.id,"Jl. Kaliurang KM 7.5, RT 11/RW 07, kantor operasional Koperasi Konsultan Legal UMKM",Jawa Tengah,"Koperasi Konsultan Legal UMKM berperan sebagai mitra pendamping yang menyediakan kemitraan penjualan, pinjaman lunak, klinik konsultasi bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000019.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000019.webp,true,false,,,2026-03-28 09:19:35,2026-05-10 09:19:35
MTR000020,MITRA-2026-00020,AKUN005270,ADM000078,LOK000461,JM10,AKTIF,KABUPATEN,Agensi Kreasi Muda,Agensi Kreasi Muda Mandiri,,81.471.617.3-660.758,Rangga Pramono,Kepala Divisi UMKM,082349275888,agensi-kreasi-muda020@corp.id,"Pasar Nusukan Los H-124, kantor operasional Agensi Kreasi Muda",Solo Raya,"Agensi Kreasi Muda membuka program kolaborasi untuk UMKM pada bidang pemasaran, digitalisasi dengan bentuk dukungan kemitraan penjualan, pendampingan konten, kurasi produk, promosi digital.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000020.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000020.webp,true,false,,,2024-10-25 01:13:39,2024-11-15 01:13:39
MTR000021,MITRA-2026-00021,AKUN005271,ADM000032,LOK000484,JM02,AKTIF,KABUPATEN,PT Pelatihan Wirausaha,PT Pelatihan Wirausaha,1393143923054,25.536.490.4-791.616,Hanif Fitriani,Koordinator Kemitraan,089611765080,pt-pelatihan-wirausaha.cs@ac.id,"Jl. Mawar No. 96 RT 06/RW 08, kantor operasional PT Pelatihan Wirausaha",Online Nasional,"PT Pelatihan Wirausaha mendukung UMKM melalui promosi digital, pendampingan konten, klinik konsultasi, dana hibah pada bidang pemasaran, distribusi. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000021.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000021.webp,true,false,,,2026-02-17 01:44:06,2026-03-05 01:44:06
MTR000022,MITRA-2026-00022,AKUN005272,ADM000150,LOK000507,JM02,AKTIF,LOKAL,Rumah BUMN UMKM Naik Kelas,Rumah BUMN UMKM Naik Kelas Mandiri,2202818063262,54.366.388.5-784.048,Nisa Azarel,Manajer Program,08523610342,halo22.rumah-bumn-umkm-naik-kelas@gmail.com,"Jl. Mangga KM 3.3, RT 07/RW 07, kantor operasional Rumah BUMN UMKM Naik Kelas",Online Nasional,"Rumah BUMN UMKM Naik Kelas berperan sebagai mitra pendamping yang menyediakan kurasi produk, pendampingan konten bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000022.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000022.webp,true,false,,,2025-10-06 06:52:19,2025-11-24 06:52:19
MTR000023,MITRA-2026-00023,AKUN005273,ADM000209,LOK000530,JM03,AKTIF,KABUPATEN,CV Kemitraan Lokal,CV Kemitraan Lokal,3114768521371,,Yoeke Syakira,Manajer Program,08998264478,info-cv-kemitraan-lokal@gmail.com,"Jl. Slamet Riyadi No. 113 RT 13/RW 09, kantor operasional CV Kemitraan Lokal",Online Nasional,"CV Kemitraan Lokal berperan sebagai mitra pendamping yang menyediakan akses gudang, kemitraan penjualan, klinik konsultasi bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000023.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000023.webp,true,false,,,2025-12-11 04:55:28,2026-02-16 04:55:28
MTR000024,MITRA-2026-00024,AKUN005274,ADM000225,LOK000553,JM10,AKTIF,NASIONAL,Studio Logistik Rakyat,Studio Logistik Rakyat Mandiri,9125246231256,24.382.498.7-653.189,Anindya Ramdani,Koordinator Kemitraan,081355465435,admin24.studio-logistik-rakyat@or.id,"Pasar Kartasura Los G-151, kantor operasional Studio Logistik Rakyat",Jawa-Bali,"Studio Logistik Rakyat mendukung UMKM melalui promosi digital, kemitraan penjualan, klinik konsultasi pada bidang digitalisasi, promosi digital. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000024.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000024.webp,true,false,,,2025-02-26 01:41:43,2025-04-13 01:41:43
MTR000025,MITRA-2026-00025,AKUN005275,ADM000090,LOK000576,JM04,AKTIF,PROVINSI,Universitas Bina Usaha,Universitas Bina Usaha Mandiri,2135644875099,41.608.822.8-627.846,Angelina Wulandari,Koordinator Kemitraan,089654293337,universitas-bina-usaha.kemitraan@mitra.id,"Pasar Nusukan Los B-146, kantor operasional Universitas Bina Usaha",Jawa Tengah,"Universitas Bina Usaha berperan sebagai mitra pendamping yang menyediakan klinik konsultasi, pendampingan konten, konsultasi legal bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000025.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000025.webp,true,false,,,2024-09-27 16:26:11,2024-11-12 16:26:11
MTR000026,MITRA-2026-00026,AKUN005276,ADM000051,LOK000599,JM01,AKTIF,NASIONAL,Badan Pangan Berdaya,Badan Pangan Berdaya Mandiri,9140712387626,53.467.627.9-775.095,Yoga Pawestri,PIC CSR,082150792617,badan-pangan-berdaya026@co.id,"Sentra UMKM Klewer, Kios H177, kantor operasional Badan Pangan Berdaya",Solo Raya,"Badan Pangan Berdaya berperan sebagai mitra pendamping yang menyediakan konsultasi legal, klinik konsultasi bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000026.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000026.webp,true,false,,,2025-06-21 14:46:16,2025-07-30 14:46:16
MTR000027,MITRA-2026-00027,AKUN005277,,LOK000622,JM04,NONAKTIF,KABUPATEN,Politeknik Klinik Bisnis Rakyat,Politeknik Klinik Bisnis Rakyat Mandiri,1456204279962,52.617.593.1-659.789,Yuni Wibowo,Manajer Program,08777415869,cs.politeknik-klinik-bisnis-rakyat@mitra.id,"Pasar Grogol Los H-35, kantor operasional Politeknik Klinik Bisnis Rakyat",Jawa-Bali,"Politeknik Klinik Bisnis Rakyat berperan sebagai mitra pendamping yang menyediakan klinik konsultasi, kelas pelatihan, pendampingan konten bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000027.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000027.webp,false,false,,,2024-05-16 03:46:44,2024-06-23 03:46:44
MTR000028,MITRA-2026-00028,AKUN005278,ADM000196,LOK000645,JM11,AKTIF,KABUPATEN,Koperasi Pusat Ekspor Pemula,Koperasi Pusat Ekspor Pemula,,79.575.826.2-128.304,Febri Rahmawati,Kepala Divisi UMKM,089784647828,koperasi-pusat-ekspor-pemula028@mitra.id,"Jl. Jenderal Sudirman Gang Anggrek No. 196, kantor operasional Koperasi Pusat Ekspor Pemula",Solo Raya,"Koperasi Pusat Ekspor Pemula berperan sebagai mitra pendamping yang menyediakan akses pameran, kemitraan penjualan bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000028.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000028.webp,true,false,,,2026-02-06 13:30:13,2026-03-08 13:30:13
MTR000029,MITRA-2026-00029,AKUN005279,ADM000226,LOK000668,JM01,AKTIF,LOKAL,Dinas Sentra Pameran,Dinas Sentra Pameran Mandiri,,,Adit Harlitasari,Kepala Divisi UMKM,0853315008494,sales.dinas-sentra-pameran@corp.id,"Jl. Pangeran Diponegoro No. 34 RT 03/RW 09, kantor operasional Dinas Sentra Pameran",Nasional,"Dinas Sentra Pameran berperan sebagai mitra pendamping yang menyediakan fasilitasi sertifikasi, konsultasi legal bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000029.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000029.webp,true,false,,,2025-02-25 13:21:06,2025-04-01 13:21:06
MTR000030,MITRA-2026-00030,AKUN005280,ADM000249,LOK000691,JM01,AKTIF,PROVINSI,Badan Ekspor Mandiri,Badan Ekspor Mandiri Mandiri,1280733118745,59.416.711.4-852.183,Endang Aryati,Manajer Program,08135859749,badan-ekspor-mandiri.kontak@gmail.com,"Jl. Veteran Kav. 235 Blok D, kantor operasional Badan Ekspor Mandiri",Jawa-Bali,"Badan Ekspor Mandiri membuka program kolaborasi untuk UMKM pada bidang legalitas usaha, sertifikasi produk, pelatihan dengan bentuk dukungan pendampingan konten, klinik konsultasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000030.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000030.webp,true,false,,,2025-10-15 06:47:05,2025-10-28 06:47:05
MTR000031,MITRA-2026-00031,AKUN005281,ADM000103,LOK000714,JM11,AKTIF,LOKAL,Koperasi Kemasan Kreatif,Koperasi Kemasan Kreatif,,23.699.794.5-831.374,Mujiono Artanti,Koordinator Kemitraan,08519493677,koperasi-kemasan-kreatif.info@gmail.com,"Jl. Letjen Suprapto No. 142 RT 14/RW 12, kantor operasional Koperasi Kemasan Kreatif",Jawa-Bali,"Koperasi Kemasan Kreatif membuka program kolaborasi untuk UMKM pada bidang permodalan, pemasaran dengan bentuk dukungan klinik konsultasi, akses pameran.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000031.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000031.webp,true,false,,,2024-12-09 15:36:21,2024-12-25 15:36:21
MTR000032,MITRA-2026-00032,AKUN005282,ADM000038,LOK000737,JM03,AKTIF,KABUPATEN,PT Gerai Kurasi Produk,PT Gerai Kurasi Produk,1804097496011,,Devi Nugraha,Koordinator Kemitraan,0851959743580,usaha.pt-gerai-kurasi-produk@gmail.com,"Pasar Beringharjo Los G-198, kantor operasional PT Gerai Kurasi Produk",Kabupaten/Kota,"PT Gerai Kurasi Produk berperan sebagai mitra pendamping yang menyediakan pendampingan konten, klinik konsultasi, akses gudang bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000032.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000032.webp,true,false,,,2024-09-13 16:47:56,2024-11-29 16:47:56
MTR000033,MITRA-2026-00033,AKUN005283,,LOK000760,JM01,MENUNGGU_VERIFIKASI,LOKAL,UPT Akselerator Pasar Digital,UPT Akselerator Pasar Digital Mandiri,,64.701.864.7-275.866,Syifa Rohmah,Kepala Divisi UMKM,0896324245654,upt-akselerator-pasar-digital033@ac.id,"Jl. Industri Kecil KM 10.6, RT 14/RW 12, kantor operasional UPT Akselerator Pasar Digital",Solo Raya,"UPT Akselerator Pasar Digital membuka program kolaborasi untuk UMKM pada bidang pendampingan bisnis, pelatihan, sertifikasi produk, legalitas usaha dengan bentuk dukungan klinik konsultasi, pendampingan konten.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000033.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000033.webp,false,false,,,2025-02-05 00:12:44,2025-04-11 00:12:44
MTR000034,MITRA-2026-00034,AKUN005284,ADM000147,LOK000783,JM06,AKTIF,PROVINSI,Koperasi Sinergi Nusantara,Koperasi Sinergi Nusantara,3127640206689,60.508.809.8-768.886,Dewi Pratiwi,PIC CSR,08116709133,order34.koperasi-sinergi-nusantara@ac.id,"Pasar Nusukan Los E-77, kantor operasional Koperasi Sinergi Nusantara",Jawa-Bali,"Koperasi Sinergi Nusantara membuka program kolaborasi untuk UMKM pada bidang pendampingan bisnis, legalitas usaha, permodalan dengan bentuk dukungan kurasi produk, pendampingan konten, mentoring, pinjaman lunak.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000034.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000034.webp,true,false,,,2026-04-30 15:33:25,2026-07-13 15:33:25
MTR000035,MITRA-2026-00035,AKUN005285,ADM000167,LOK000806,JM12,AKTIF,PROVINSI,Lembaga Keuangan Rakyat,Lembaga Keuangan Rakyat Mandiri,1432771546623,39.674.712.9-865.362,Wahyu Kusnadi,Kepala Divisi UMKM,082241307717,admin-lembaga-keuangan-rakyat@mitra.id,"Jl. Imam Bonjol No. 70 RT 12/RW 02, kantor operasional Lembaga Keuangan Rakyat",Nasional,"Lembaga Keuangan Rakyat mendukung UMKM melalui klinik konsultasi, mentoring, kurasi produk pada bidang digitalisasi, legalitas usaha, pembukuan. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000035.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000035.webp,true,false,,,2025-05-17 07:19:10,2025-05-28 07:19:10
