akun_id,peran_id,nama_lengkap,email,no_hp,password_hash,status_aktif,email_verified_at,last_login_at,created_at,updated_at
AKUN000018,ADMIN,Devi Maulana,dm00018@umkmtumbuh.go.id,088237945784,sha256$dCjUPPkcUj5PxELch9mU7Q$859c44314f0fad3944dc4550113e4b24dc8a125b90cf8de79e204b21540b62cd,true,2024-10-10 21:43:26,2026-01-31 23:18:54,2024-10-09 05:43:26,2026-01-31 23:18:54
AKUN000019,ADMIN,Syifa Mulyani,syifa.mulyani19@umkmtumbuh.go.id,089772425565,sha256$7b70GQhTBHDkEs_r2AIEcg$9e9819c13466923b72465d70d30a04ff4f3cde34312d01d86a27d4e135304ee1,true,2025-12-05 14:48:39,2026-04-06 23:41:45,2025-12-04 10:48:39,2026-04-06 23:41:45
AKUN000020,ADMIN,Dewi Ungu,dewi_ungu.020@umkmtumbuh.go.id,089746819409,sha256$jTm3Dsx92gtHmPhyYpJZRQ$3c9a64dfb00e4bb7fda9127ab8fe11c438db2eaa17031dc0118fc5f769f6e111,true,2024-06-10 09:03:42,2025-04-28 09:49:08,2024-06-09 11:03:42,2025-04-28 09:49:08
AKUN000021,ADMIN,Wahyu Subianto,wahyu.00021@umkmtumbuh.go.id,08512832467,sha256$8lRePnRO0DqYTVbE38q9qw$79f6c82930e3e8f64a03399252d8a109deccaf32c252eabd5db66afc913b7a9d,true,2025-10-29 01:02:51,2025-12-18 02:34:18,2025-10-28 20:02:51,2025-12-18 02:34:18
AKUN000022,ADMIN,Farhan Ramdani,farhan_ramdani.022@umkmtumbuh.go.id,08776463570,sha256$j2KavdcYpSyeO-RqIMNNxQ$66d94bf5ac58ac026512e95ad643e4c8d526874b22f2a5f71a9ab341ab14be02,true,2024-04-26 07:56:51,,2024-04-25 11:56:51,2024-04-25 11:56:51
AKUN000023,ADMIN,Salsa Wulandari,sw00023@umkmtumbuh.go.id,089989523344,sha256$lrWnJqvTssT5ZrnVqFK7JA$1445630fe48702e84f10a4603a55ffeb49c1c7430f26cc8ad21ef7a14c407fef,true,2025-10-11 17:40:39,2026-01-13 00:55:55,2025-10-08 14:40:39,2026-01-13 00:55:55
AKUN000024,ADMIN,Bagus Pawestri,baguspawestri24@umkmtumbuh.go.id,08983429443,sha256$kanMCo6eeq-kG33P9qisiQ$4036c25163984bd475334496b9e5dda7dafe6029f3a39311866972e8703b7325,true,2025-04-12 09:18:24,,2025-04-10 22:18:24,2025-04-10 22:18:24
AKUN000025,ADMIN,Niken Wibowo,niken.00025@umkmtumbuh.go.id,0878854886040,sha256$KB14ewRORmkHI_xzSReJYQ$be291be65852990b6b54163774103ff09feb27350f697b7113e3bf6e4b36c754,true,2024-04-25 20:53:29,,2024-04-25 02:53:29,2024-04-25 02:53:29
AKUN000026,ADMIN,Dinda Rahmawati,dindarahmawati26@umkmtumbuh.go.id,082131638269,sha256$l0N4ALRqew2-ckWzsxiAIQ$4a16e77c29123ae0cc8fd76810b84bed82b4974302a3117ab021413ca7b4c920,true,2026-01-27 06:18:49,2026-02-10 02:25:43,2026-01-26 09:18:49,2026-02-10 02:25:43
AKUN000027,ADMIN,Pram Suryani,pram.00027@umkmtumbuh.go.id,085189607480,sha256$ICFoNTCVNFjfLiXlilePAQ$4b75546589c132504306d214e8e54436d9bffd5d5a57062d3418e4f0cabf27c4,true,2026-04-15 01:20:50,2026-05-19 10:57:33,2026-04-13 22:20:50,2026-05-19 10:57:33
AKUN000028,ADMIN,Adeliya Hapsari,adeliya_hapsari.028@umkmtumbuh.go.id,089613701459,sha256$1LZHt3aDPIOubxOCt7gcYw$383a04eec07797bfb43b41c9a58ad99bff0b8830f0272032144845e1dd80bbc1,true,2024-10-28 00:04:20,2026-01-06 16:49:38,2024-10-27 16:04:20,2026-01-06 16:49:38
AKUN000029,ADMIN,Jonnathan Akmalin,jonnathanakmalin29@umkmtumbuh.go.id,08984757157,sha256$MDD5LmkGngTFrDLx_dwDEw$68ca90f68f3fcffc8196198af67de151cd3fdccf6795c515a56386f9092d2d06,true,2024-07-04 03:36:14,2025-09-07 22:50:42,2024-07-03 13:36:14,2025-09-07 22:50:42
AKUN000030,ADMIN,Meiva Sulistyo,meiva-sulistyo-0510@umkmtumbuh.go.id,088214254365,sha256$-orCJB32ssvUwajWLEg9qg$79e490bbb4aa5cda4a4e6d4071d332533b04caa5ec96b2500cb0649cfa2b3e1d,true,2024-06-21 19:38:17,2024-08-29 23:40:55,2024-06-19 19:38:17,2024-08-29 23:40:55
AKUN000031,ADMIN,Zahra Gunawan,zahra-gunawan-0527@umkmtumbuh.go.id,0858222462687,sha256$WDbZfb4Hfy79Jb47bGn1zw$f97f5a43ae240e28fdd01f5978ab69f7dc8ec8137881ce5b01f8a191464f08fa,true,2026-03-26 06:56:46,2026-05-17 06:59:30,2026-03-22 16:56:46,2026-05-17 06:59:30
AKUN000032,ADMIN,Irfan Prabawa,ip00032@umkmtumbuh.go.id,081121118989,sha256$nroaP0zLAW1HNOSPh1u6YA$70bafae49f61064aa216c4be9bcd0e86bf7448da9d934aae34e1e7a336aa3319,true,2025-11-24 01:58:48,2025-12-10 09:52:37,2025-11-20 07:58:48,2025-12-10 09:52:37
AKUN000033,ADMIN,Retno Rahman,retno-rahman-0561@umkmtumbuh.go.id,089762723897,sha256$jBace06hcTGQnSfGlu9dkA$bf6c9779e4e229ee4d70b21b8922eda9119711873c551dcae19f4e77093ad016,true,2025-04-26 19:56:01,,2025-04-25 22:56:01,2025-04-25 22:56:01
AKUN000034,ADMIN,Naufal Hidayat,naufal.hidayat34@umkmtumbuh.go.id,085588124858,sha256$aEnvhSiwFV3uFRyEX018og$b504e380ae412c5b3e6cd1b99afd1448f92c8f7cfedb5f11b0f60b48f2b091d0,true,2025-09-18 11:22:44,2026-04-03 00:07:29,2025-09-14 18:22:44,2026-04-03 00:07:29
AKUN000035,ADMIN,Joko Cahyani,joko.00035@umkmtumbuh.go.id,081271528573,sha256$quCcxYmgg0AC7PCmwgTlxw$44359bc0d40676aa5c22e33976425367f7fa4f9858891ffebb566c5e672fc6aa,true,2025-10-18 04:24:56,2025-12-19 13:02:18,2025-10-14 22:24:56,2025-12-19 13:02:18
AKUN000036,ADMIN,Halimah Basuki,halimah-basuki-0612@umkmtumbuh.go.id,08577940691,sha256$kvoR1ZDH4xDjbqDN22_lHg$eb04c48f4f225c7fcf1f5e9086c39393794b6b689a45d36f34c9051b1aab2e5b,true,2026-05-14 02:11:11,,2026-05-10 15:11:11,2026-05-10 15:11:11
AKUN000037,ADMIN,Yuliana Manggala,ym00037@umkmtumbuh.go.id,08774497278,sha256$pTOS3v9tIybUP7vaYYZixA$413cdb45867a2080f040613c26a581bafd8b046c8f13a5023c288890199f39d7,true,2025-07-18 20:43:42,2025-12-15 15:55:32,2025-07-17 11:43:42,2025-12-15 15:55:32
AKUN000038,ADMIN,Nuraini Kusuma,nuraini.kusuma38@umkmtumbuh.go.id,089621959933,sha256$D83Rr_2yBRBvAjItpBKVNA$7dc849a98ab3d4c3a469f5c77c314ea59c0edb66124c73a7883eefe3f5d1bfa6,true,2025-02-12 19:15:35,,2025-02-09 06:15:35,2025-02-09 06:15:35
AKUN000039,ADMIN,Budi Azzahra,budi-azzahra-0663@umkmtumbuh.go.id,0855830650972,sha256$aaFoRp2nMh2BBDD0MiunqA$4d42c48e93194c8841db0736d7b2f7d4a61874791da8e59070bd6b375d0698df,true,2025-02-18 10:08:40,,2025-02-17 23:08:40,2025-02-17 23:08:40
AKUN000040,ADMIN,Fitri Anggraini,fa00040@umkmtumbuh.go.id,085856782642,sha256$Wa1Aaokjud7vhLy0SOVVsQ$ab2e833705c82132fa760d7157536579ec8268d8ecb021c7f7414f525deef951,true,2024-01-21 11:35:01,2024-04-06 19:19:04,2024-01-19 18:35:01,2024-04-06 19:19:04
AKUN000041,ADMIN,Nadia Wijayanti,nadia.wijayanti41@umkmtumbuh.go.id,087764634771,sha256$wJvCx8Xl1Ns7g_Hvl4Uh7g$b7bfcb44c085682779b39951e2dd223ab7b94b7e98e87a1e9a573ece6c4271bd,true,2025-07-07 08:10:22,2026-01-10 13:45:16,2025-07-06 07:10:22,2026-01-10 13:45:16
AKUN000042,ADMIN,Arif Handayani,arif.handayani42@umkmtumbuh.go.id,087758570369,sha256$hqqtsqIy5kQ58aiL0zgeDA$8d25bae4647162a7f9d4820749588fff62110401e27d385cbf4c8e97ebd1cc9e,true,2025-10-11 00:05:09,2026-02-23 16:56:48,2025-10-10 16:05:09,2026-02-23 16:56:48
AKUN000043,ADMIN,Rahayu Wijaya,rahayu.wijaya43@umkmtumbuh.go.id,08563968734,sha256$bbj1ocXwow5YomvbxBAmig$6e4bd415f470bee4f55ea25643f6b3b8479252b528503993a228b0bdff2fd522,true,2024-10-20 13:26:33,2026-05-26 08:39:33,2024-10-18 18:26:33,2026-05-26 08:39:33
AKUN000044,ADMIN,Rifqi Amalia,rifqi-amalia-0748@umkmtumbuh.go.id,089950462755,sha256$EXVw75d9R5HigGsSWL8QTg$2f29bf36badd9c525afdf81c3d1a6cf869c3bcdb5cda85c9b99aa797c9405699,true,2024-08-21 04:11:26,2025-06-07 11:18:54,2024-08-19 06:11:26,2025-06-07 11:18:54
AKUN000045,ADMIN,Citra Ade,citra_ade.045@umkmtumbuh.go.id,08587406337,sha256$p3w-wZgPe0Qysx0-BwZFlQ$5d551e4891fcfffdc966e2b6df38f4ec4da36ca902d7122c9ff6d771636150fe,true,2025-03-08 22:44:34,,2025-03-08 11:44:34,2025-03-08 11:44:34
AKUN000046,ADMIN,Rizka Syakira,rizka_syakira.046@umkmtumbuh.go.id,0877876814936,sha256$h9ZPRK8Z6mGk1NMmcVhTgQ$a3ac049d03f61dbfcaa4a84f26564a939d8f258f1cd91ca7f51db2622584ef10,true,2025-11-05 06:23:42,2025-11-08 10:31:27,2025-11-02 17:23:42,2025-11-08 10:31:27
AKUN000047,ADMIN,Dwi Fauziah,dwi.fauziah47@umkmtumbuh.go.id,08583211891,sha256$oDwjcNDkvDPvfdpG5dJQYg$e7ce4d912f52328278c3e226b41b83c2c6f589ecd6b320864baac4ce55ee9bd4,true,2026-02-17 22:47:12,2026-04-19 20:06:34,2026-02-16 03:47:12,2026-04-19 20:06:34
AKUN000048,ADMIN,Rasyid Widodo,rasyid_widodo.048@umkmtumbuh.go.id,0898194548194,sha256$je-QR2lX56PTUpWPlNsHxg$a6bcc7095e2723d8f545b357ad932809f2ab271864a8b60fb218500fc9d53afd,true,2024-01-28 17:56:12,,2024-01-25 12:56:12,2024-01-25 12:56:12
AKUN000049,ADMIN,Anindya Haryanto,anindyaharyanto49@umkmtumbuh.go.id,0888708290264,sha256$U8lG4aTFoJpVYCD9mp7qDg$e4d065b7edda96455ee08603c0b008c2469786a1ba8f5a9e71b4250a306446ff,true,2026-03-11 07:47:52,2026-05-04 16:16:01,2026-03-09 17:47:52,2026-05-04 16:16:01
AKUN000050,ADMIN,Angelina Kurniawan,angelina-kurniawan-0850@umkmtumbuh.go.id,0857600274541,sha256$ir_BRU912A-k9Q2CaZg8Sg$fa5522857c55747205536193f16f53a5494eec14bde70bf6e3bb52ef72f15b00,true,2025-04-28 08:08:05,2025-09-16 00:38:18,2025-04-26 07:08:05,2025-09-16 00:38:18
AKUN000051,ADMIN,Rama Firmansyah,ramafirmansyah51@umkmtumbuh.go.id,08972705279,sha256$O4edfO7NAnjrE7Z2c6WwMg$ae7e7332639b6e78dae3ca271c427394021b5b56de1b5a3a81f98870ac3c2d33,true,2024-06-20 17:34:54,,2024-06-17 18:34:54,2024-06-17 18:34:54
AKUN000052,ADMIN,Eka Ramadhan,eka_ramadhan.052@umkmtumbuh.go.id,085134096052,sha256$z9UKUZnEqiGni0wO9gxdpA$c8c9d0e09849a0a5b4fd3bf80aa5231f8fbfb2571526909f238b7b4877d2c729,true,2026-03-29 05:30:19,,2026-03-26 19:30:19,2026-03-26 19:30:19
AKUN000053,ADMIN,Rizqi Ryannareta,rizqi_ryannareta.053@umkmtumbuh.go.id,08539282918,sha256$t6tKSqOXnaHkS-QAJ9GT-A$03bffe9d67b6008effc73fd92f13cfa77d06670e1f509e589e787f7bca3de7d1,true,2025-06-23 11:48:50,2025-12-15 05:47:45,2025-06-20 15:48:50,2025-12-15 05:47:45
AKUN000054,ADMIN,Lukman Yusnita,lukman_yusnita.054@umkmtumbuh.go.id,08782896983,sha256$v2CVN8Bcam7oeN-seTLQ-w$451303b628c35d61b5c76d6c5a69c9332d92bb16a7ee769acbe6ba713fa82a93,true,2026-04-02 04:50:08,2026-05-13 11:37:25,2026-03-30 02:50:08,2026-05-13 11:37:25
AKUN000055,ADMIN,Dewanto Fadhilah,dewanto.fadhilah55@umkmtumbuh.go.id,08225516471,sha256$r7B77t_lNYTeWa5t4qEx9Q$035863f7dc94e0770bb2ae260432f639d1e0c2d698967f2e452c4c845c5f36da,true,2026-03-01 08:36:36,2026-05-09 04:30:06,2026-02-28 13:36:36,2026-05-09 04:30:06
AKUN000056,ADMIN,Slamet Ramadhani,slametramadhani56@umkmtumbuh.go.id,085654898296,sha256$9g2QWAn4kF2V82F5ESNVbw$c502fc4ae3418af701151c73141f1ab79fc9920bc0d93b12f3842fe139c5851d,true,2026-01-24 15:55:40,2026-03-27 21:13:31,2026-01-23 01:55:40,2026-03-27 21:13:31
AKUN000057,ADMIN,Rengga Anjani,renggaanjani57@umkmtumbuh.go.id,089563828018,sha256$fsaq6E3d9kaR4b2EnIJTSg$8ad56b4c962ddf58ba2ea207c21c8d0a38038c217e24fa33b18319f6a57d81e6,true,2026-04-17 11:38:42,2026-05-12 01:43:09,2026-04-15 19:38:42,2026-05-12 01:43:09
AKUN000058,ADMIN,Rohman Santoso,rohman.00058@umkmtumbuh.go.id,081229591674,sha256$PqaFS2x7Sl7UHO9pXpfZrw$3b56f5a9569bb40faf36157acaad7b3b06145d0fdcdcf83d1358d8c6a469cf7b,true,2025-03-05 16:13:43,2026-04-08 23:18:45,2025-03-04 10:13:43,2026-04-08 23:18:45
AKUN000059,ADMIN,Agus Sari,agus.sari59@umkmtumbuh.go.id,089674057095,sha256$Wu77KKZiREWhBcxoI5Bdlw$271bc33e0d2f685bf1fdd73563b1779e797fbb09652e9045ab1fc81f8d31f1e1,true,2026-04-12 07:25:18,2026-04-25 07:12:02,2026-04-08 14:25:18,2026-04-25 07:12:02
AKUN000060,ADMIN,Tri Puspita,tripuspita60@umkmtumbuh.go.id,089711680113,sha256$YB5DEG71bcAnqBrGfa7yDA$b5c12cca22299f8d7c067fdb1bf9510534e9c7847f0569718314be01f52ccdae,true,2024-08-05 12:15:01,2025-12-15 20:49:38,2024-08-03 04:15:01,2025-12-15 20:49:38
AKUN000061,ADMIN,Intan Aryati,intan-aryati-1037@umkmtumbuh.go.id,088810568732,sha256$1QhS29Edr4LwL3n8bd95Mg$9f3e461e6b703ca1492743b8a2a1ef45e54f8d671d1a6eeef1a0da789a57afef,true,2025-11-19 07:50:50,2026-01-26 18:35:23,2025-11-15 09:50:50,2026-01-26 18:35:23
AKUN000062,ADMIN,Nugroho Afifansyah,nugroho_afifansyah.062@umkmtumbuh.go.id,082122435563,sha256$uz5OKwE00R2cwqIuq-ihBw$85e064990f75ccaf8c6509e20c7bf40d3d8dc0a6db9dbc727d53cf9435d3e18d,true,2024-04-27 04:10:45,2025-08-08 13:19:28,2024-04-25 18:10:45,2025-08-08 13:19:28
AKUN000063,ADMIN,Sekar Wicaksono,sekar.wicaksono63@umkmtumbuh.go.id,085764533830,sha256$q9kdspG3suuqAgjXcjgJMg$499094d332e403efc1e0cfd3a61183af36dcfc59cd1fa35cbef018118b4b7179,true,2026-03-07 02:39:47,2026-05-27 06:00:26,2026-03-04 05:39:47,2026-05-27 06:00:26
AKUN000064,ADMIN,Ilham Herlambang,ilham.herlambang64@umkmtumbuh.go.id,087889865678,sha256$P3MKQbIa7CVrSJHXsHKpVw$71e23b3c542c3ad61c880ead4342763cec85572361c9ed20c3c6e2c0f9211c23,true,2025-05-18 01:45:13,,2025-05-16 11:45:13,2025-05-16 11:45:13
AKUN000065,ADMIN,Ari Setyowati,ari.00065@umkmtumbuh.go.id,082294066769,sha256$TVyc84p6bAKpjTTzrtFPYA$9f4413aa6cd8182e7c0e1b399eaf4ed4e02f69cbec02ecb43dece2e406020344,true,2024-02-05 00:44:58,,2024-02-04 18:44:58,2024-02-04 18:44:58
AKUN000066,ADMIN,Suryo Asih,sa00066@umkmtumbuh.go.id,082156161886,sha256$7j7TgOherQS74ibslLxKVQ$b3b27b138e5eed2afc3d3e72107f896657a9da3ec5afddf9623921bd01b1a453,true,2025-09-06 06:58:54,2025-10-05 02:17:00,2025-09-02 13:58:54,2025-10-05 02:17:00
AKUN000067,ADMIN,Darel Wahyuni,darelwahyuni67@umkmtumbuh.go.id,087852623332,sha256$p_5oSBvLJG1UlR20MnxAPg$c8e9c7f9a8c33c96da40814a663da561f74d214bed0903638249fc0d7827bfa2,true,2024-10-03 12:57:00,2024-12-12 06:09:42,2024-10-01 08:57:00,2024-12-12 06:09:42
AKUN000068,ADMIN,Rexy Pramono,rexy-pramono-1156@umkmtumbuh.go.id,0851553713469,sha256$vYKGKoB7DHAaCI3p9tb0LQ$545fc4d48f714be30222484026ebe400f990e4405fd0d169180fca0173f39d2e,true,2026-04-08 11:44:29,,2026-04-06 18:44:29,2026-04-06 18:44:29
AKUN000069,ADMIN,Prabowo Amin,prabowo_amin.069@umkmtumbuh.go.id,085318133121,sha256$ZpRhYBSdoBfoZxRcAZ51oQ$10d05fb58621b6cd6488f5e7152eb679e27fe8d8acebc1589cffb348e9ce3519,true,2024-03-12 06:27:08,2026-04-14 00:40:44,2024-03-09 00:27:08,2026-04-14 00:40:44
AKUN000070,ADMIN,Khairunnisa Mahardika,khairunnisa-mahardika-1190@umkmtumbuh.go.id,0858521777176,sha256$gqDDmnd9lvRLnU0fMgWo1w$b6be2322baae734787a82019e74d5e33caee488e373347113a32843855a8d4ee,true,2026-04-25 05:08:35,2026-04-24 07:48:37,2026-04-23 19:08:35,2026-04-24 07:48:37
AKUN000071,ADMIN,Hafizh Nugraha,hafizhnugraha71@umkmtumbuh.go.id,08227678812,sha256$c5mM2oHnB1L_HWt-mbUjkw$0deb03e0a8591b1922e91e0e18e918ff3faa085011d57cb3cdc9aa670e80244d,true,2026-05-01 04:50:45,,2026-04-27 09:50:45,2026-04-27 09:50:45
AKUN000072,ADMIN,Nurul Rohmah,nr00072@umkmtumbuh.go.id,082319854380,sha256$7DMFGW5HF83qjgXjDL1-HQ$7079dff30813f0475c7e31cda99578b57811f77e06e1d1941a3b45e3b1315d19,true,2024-04-16 02:24:36,,2024-04-15 22:24:36,2024-04-15 22:24:36
AKUN000073,ADMIN,Naufan Pratiwi,np00073@umkmtumbuh.go.id,082360183000,sha256$Gw4sU6ch7rMIdpg1TweD3w$e9e1652f464f28a69a9d9a101b6a8908198205574c2d86cf2ed42c24c69a6da4,true,2026-05-09 05:15:03,,2026-05-08 05:15:03,2026-05-08 05:15:03
AKUN000074,ADMIN,Sriyono Kusnadi,sriyono.00074@umkmtumbuh.go.id,081351285722,sha256$VvErQJMSSRPP56VQLN_grg$f7a745f95e220ef864eb7cb10d856d6758dfc791f7326dfb81bca902f82ddc17,true,2024-10-29 05:03:32,2025-10-31 16:23:58,2024-10-27 17:03:32,2025-10-31 16:23:58
AKUN000075,ADMIN,Latifah Saputra,latifahsaputra75@umkmtumbuh.go.id,0897345705512,sha256$kSS5nLyijCY6gbln04xNYQ$ca3fc348a1aad951771ca9ff746c3dcae3ce4506aaebcbb6053ab6edee7f1fd0,true,2024-11-19 23:29:44,2026-05-05 12:49:11,2024-11-19 05:29:44,2026-05-05 12:49:11
AKUN000076,ADMIN,Krisna Permata,krisnapermata76@umkmtumbuh.go.id,08117589269,sha256$Fp8fH6NgWk676mgl964ebQ$108c704bbb58a536f5d6a0801d257863148b1cbd8341ab1de60778f7133feb5b,true,2025-07-05 04:57:58,2025-12-01 14:26:44,2025-07-02 15:57:58,2025-12-01 14:26:44
AKUN000077,ADMIN,Novi Haunan,novi.00077@umkmtumbuh.go.id,089917734067,sha256$JYQZ-KhMHe6o1yroRPB20A$b4a7142e4411a20447489f6b2440824ba7cef2d47b36ca6ad682db6e8f2b604c,true,2024-05-08 23:05:32,2025-09-27 01:31:38,2024-05-07 01:05:32,2025-09-27 01:31:38
AKUN000078,ADMIN,Siti Hylmi,sh00078@umkmtumbuh.go.id,0813995572375,sha256$jV-R7VxwBAW9P1QU1iP61A$4e82f37993a04daf4728b701c16b6849e564b3a8a1052239fe188e7e74c8f30b,true,2025-03-26 17:09:03,2025-05-17 04:04:09,2025-03-22 21:09:03,2025-05-17 04:04:09
AKUN000079,ADMIN,Yusuf Lahadalia,yusuf.lahadalia79@umkmtumbuh.go.id,0888885220748,sha256$eq1IP7Y5Jrj8dCOhKsJbXA$ecfb69808de9c4c05f202e1b2aff78a42ede0bbb43590f1d8c0209f18ad0f32b,true,2025-03-26 06:06:16,2025-05-24 03:30:44,2025-03-22 13:06:16,2025-05-24 03:30:44
AKUN000080,ADMIN,Rizky Syahputra,rizky.syahputra80@umkmtumbuh.go.id,088815899734,sha256$GQz6Mh1NqOkJ1qo7tXUk7g$27dec721d886e5cb13c0eedabc1a02ce8f5f8de5df12a95290a550b1b2a47627,true,2025-11-17 00:45:24,2026-04-17 16:16:14,2025-11-14 15:45:24,2026-04-17 16:16:14
AKUN000081,ADMIN,Maya Susanti,maya.00081@umkmtumbuh.go.id,0823476208841,sha256$hz5NLV1FFqZBsHZ__DwtNg$cb5d981d10f3efd5624c478ab2d5918dd8792c6917e2631606274a95be9b2d1f,true,2024-07-25 13:32:44,,2024-07-24 15:32:44,2024-07-24 15:32:44
